seqn,household_income,gender,age,education_level,household_size
77846,,Female,34,9th-11th Grade,3
77847,"20,000 to 24,999",Male,61,9th-11th Grade,2
77848,"20,000 and Over",Male,58,9th-11th Grade,1
77850,"100,000 and Over",Male,45,College Graduate or above,5
77851,"55,000 to 64,999",Male,45,Some College or AA degree,2
77852,"10,000 to 14,999",Male,72,<9th Grade,2
77853,"65,000 to 74,999",Male,67,<9th Grade,4
77855,,Male,23,College Graduate or above,1
77856,"75,000 to 99,999",Male,33,High School Grad/GED or equivalent,2
77858,"10,000 to 14,999",Female,37,High School Grad/GED or equivalent,2
77861,"20,000 to 24,999",Female,68,<9th Grade,5
77862,"75,000 to 99,999",Male,18,High School Grad/GED or equivalent,7
77864,"35,000 to 44,999",Male,40,High School Grad/GED or equivalent,2
77865,"20,000 to 24,999",Male,38,High School Grad/GED or equivalent,3
77866,"55,000 to 64,999",Male,60,Some College or AA degree,1
77867," 5,000 to  9,999",Male,68,<9th Grade,1
77869,Refused,Female,57,Some College or AA degree,6
77870,"15,000 to 19,999",Male,76,<9th Grade,3
77872,"35,000 to 44,999",Female,42,<9th Grade,5
77874," 5,000 to  9,999",Male,52,High School Grad/GED or equivalent,1
77875," 5,000 to  9,999",Female,57,Some College or AA degree,1
77876,"25,000 to 34,999",Female,80,Some College or AA degree,4
77878,,Female,47,Some College or AA degree,2
77880,"45,000 to 54,999",Male,63,Some College or AA degree,2
77881,"15,000 to 19,999",Female,19,High School Grad/GED or equivalent,3
77884,"20,000 and Over",Female,40,Some College or AA degree,4
77887,"20,000 to 24,999",Female,27,9th-11th Grade,3
77888,"35,000 to 44,999",Male,75,College Graduate or above,2
77889,"25,000 to 34,999",Male,38,,4
77891,"55,000 to 64,999",Female,55,Some College or AA degree,4
77892,"65,000 to 74,999",Male,80,Some College or AA degree,3
77893,"10,000 to 14,999",Male,24,College Graduate or above,3
77894,"Under 20,000",Female,74,9th-11th Grade,2
77896," 5,000 to  9,999",Female,41,9th-11th Grade,4
77897,"35,000 to 44,999",Female,63,<9th Grade,5
77898,"20,000 to 24,999",Male,40,Some College or AA degree,4
77900,"100,000 and Over",Male,56,High School Grad/GED or equivalent,2
77902,Refused,Female,80,College Graduate or above,1
77903,"100,000 and Over",Female,31,College Graduate or above,4
77905," 5,000 to  9,999",Female,63,High School Grad/GED or equivalent,2
77906," 5,000 to  9,999",Male,61,9th-11th Grade,1
77907,"55,000 to 64,999",Female,26,Some College or AA degree,4
77909,"15,000 to 19,999",Female,78,Some College or AA degree,1
77910,"10,000 to 14,999",Male,58,College Graduate or above,1
77912,"20,000 to 24,999",Female,34,9th-11th Grade,6
77915,"35,000 to 44,999",Female,57,High School Grad/GED or equivalent,1
77917,Refused,Female,68,<9th Grade,3
77920,"55,000 to 64,999",Male,18,Some College or AA degree,6
77922,"25,000 to 34,999",Male,68,Some College or AA degree,3
77927,"35,000 to 44,999",Female,42,High School Grad/GED or equivalent,3
77930,"100,000 and Over",Male,43,9th-11th Grade,2
77931,"Under 20,000",Male,36,High School Grad/GED or equivalent,6
77932,"35,000 to 44,999",Male,28,<9th Grade,4
77933,"35,000 to 44,999",Female,18,Some College or AA degree,4
77935,"100,000 and Over",Female,48,College Graduate or above,3
77936,,Female,43,9th-11th Grade,6
77937,"Under 20,000",Female,73,High School Grad/GED or equivalent,2
77938,"45,000 to 54,999",Male,72,College Graduate or above,2
77939,"35,000 to 44,999",Female,55,High School Grad/GED or equivalent,1
77941,"10,000 to 14,999",Male,50,High School Grad/GED or equivalent,3
77942,"75,000 to 99,999",Female,21,High School Grad/GED or equivalent,3
77943,"100,000 and Over",Male,38,College Graduate or above,5
77945,,Female,69,High School Grad/GED or equivalent,4
77948,"100,000 and Over",Female,33,College Graduate or above,1
77949,"100,000 and Over",Female,41,College Graduate or above,5
77950,"100,000 and Over",Male,80,Don't know,7
77952,"75,000 to 99,999",Male,27,College Graduate or above,3
77953,,Female,33,Some College or AA degree,4
77954,"75,000 to 99,999",Female,44,College Graduate or above,4
77957,"65,000 to 74,999",Female,36,Some College or AA degree,2
77959,"25,000 to 34,999",Male,44,Some College or AA degree,3
77960,"55,000 to 64,999",Female,37,Some College or AA degree,4
77963,"75,000 to 99,999",Male,32,College Graduate or above,5
77965,"35,000 to 44,999",Male,47,Some College or AA degree,2
77966,"25,000 to 34,999",Male,64,Some College or AA degree,2
77968,"45,000 to 54,999",Female,52,Some College or AA degree,2
77972,"75,000 to 99,999",Male,35,Some College or AA degree,4
77973,"20,000 and Over",Male,57,High School Grad/GED or equivalent,7
77976,"10,000 to 14,999",Male,73,College Graduate or above,1
77977,"100,000 and Over",Female,25,Some College or AA degree,3
77979,,Female,69,High School Grad/GED or equivalent,2
77983,"10,000 to 14,999",Male,65,Some College or AA degree,1
77985,"25,000 to 34,999",Female,24,9th-11th Grade,6
77989,"15,000 to 19,999",Male,53,9th-11th Grade,2
77990,"20,000 to 24,999",Male,66,High School Grad/GED or equivalent,2
77991,"35,000 to 44,999",Female,30,High School Grad/GED or equivalent,4
77992,"35,000 to 44,999",Male,76,Some College or AA degree,2
77993,"45,000 to 54,999",Male,21,Some College or AA degree,6
77994,"15,000 to 19,999",Male,64,Some College or AA degree,4
77995,"100,000 and Over",Male,20,College Graduate or above,4
77997,"75,000 to 99,999",Male,45,Some College or AA degree,6
77999,"15,000 to 19,999",Male,51,9th-11th Grade,3
78000,"100,000 and Over",Female,33,College Graduate or above,5
78001,"55,000 to 64,999",Female,31,Some College or AA degree,4
78002,"100,000 and Over",Female,31,College Graduate or above,2
78004,"100,000 and Over",Male,23,Some College or AA degree,6
78007,"15,000 to 19,999",Female,80,<9th Grade,3
78008,"20,000 and Over",Female,33,College Graduate or above,2
78009,"20,000 to 24,999",Male,80,9th-11th Grade,2
78010,"20,000 to 24,999",Male,73,9th-11th Grade,7
78012,"65,000 to 74,999",Male,33,College Graduate or above,5
78013,"55,000 to 64,999",Female,45,Some College or AA degree,5
78015," 5,000 to  9,999",Male,47,High School Grad/GED or equivalent,3
78018,"20,000 to 24,999",Female,47,9th-11th Grade,4
78019,"35,000 to 44,999",Male,65,<9th Grade,4
78020,"35,000 to 44,999",Female,42,College Graduate or above,2
78021,"15,000 to 19,999",Female,62,Some College or AA degree,1
78024,"65,000 to 74,999",Male,33,College Graduate or above,2
78027,"25,000 to 34,999",Female,44,Some College or AA degree,2
78028,"55,000 to 64,999",Male,64,Some College or AA degree,1
78031,"75,000 to 99,999",Female,64,High School Grad/GED or equivalent,2
78033,"25,000 to 34,999",Female,61,Some College or AA degree,3
78034,"75,000 to 99,999",Male,31,College Graduate or above,1
78035,"45,000 to 54,999",Male,30,High School Grad/GED or equivalent,5
78036,"100,000 and Over",Female,48,9th-11th Grade,7
78037,"100,000 and Over",Female,67,College Graduate or above,2
78040,,Female,59,College Graduate or above,2
78042,"45,000 to 54,999",Female,63,College Graduate or above,1
78043,"65,000 to 74,999",Male,61,High School Grad/GED or equivalent,2
78044,"20,000 to 24,999",Female,26,High School Grad/GED or equivalent,3
78046,"75,000 to 99,999",Male,19,Some College or AA degree,6
78047,"45,000 to 54,999",Female,72,High School Grad/GED or equivalent,3
78048,"100,000 and Over",Male,43,Some College or AA degree,4
78051,"100,000 and Over",Male,40,College Graduate or above,4
78052,"100,000 and Over",Female,49,College Graduate or above,5
78054,Refused,Female,23,Some College or AA degree,6
78056,"20,000 to 24,999",Male,75,9th-11th Grade,7
78058,"35,000 to 44,999",Male,50,9th-11th Grade,3
78061,"100,000 and Over",Male,47,College Graduate or above,5
78063,"20,000 to 24,999",Female,77,High School Grad/GED or equivalent,1
78068,,Male,19,9th-11th Grade,5
78070,"35,000 to 44,999",Male,46,High School Grad/GED or equivalent,4
78072,"20,000 to 24,999",Male,77,<9th Grade,5
78074,"20,000 and Over",Male,51,<9th Grade,2
78075,"20,000 to 24,999",Male,73,High School Grad/GED or equivalent,2
78076,"15,000 to 19,999",Female,56,College Graduate or above,3
78078,"20,000 to 24,999",Male,19,High School Grad/GED or equivalent,7
78079,"45,000 to 54,999",Female,40,Some College or AA degree,4
78080,"75,000 to 99,999",Male,58,College Graduate or above,2
78081,"75,000 to 99,999",Female,63,Some College or AA degree,2
78082,"100,000 and Over",Male,40,,3
78083,"10,000 to 14,999",Male,53,High School Grad/GED or equivalent,4
78084,"10,000 to 14,999",Female,61,9th-11th Grade,2
78085,"100,000 and Over",Male,32,Some College or AA degree,3
78086,"15,000 to 19,999",Male,80,<9th Grade,3
78088,"10,000 to 14,999",Male,66,Some College or AA degree,1
78089,"45,000 to 54,999",Male,62,<9th Grade,3
78091," 5,000 to  9,999",Female,18,High School Grad/GED or equivalent,3
78093,"100,000 and Over",Male,29,Some College or AA degree,4
78094,"75,000 to 99,999",Female,39,College Graduate or above,3
78095,,Female,51,Some College or AA degree,5
78096,"35,000 to 44,999",Male,28,Some College or AA degree,3
78098,"Under 20,000",Female,41,College Graduate or above,5
78099,"10,000 to 14,999",Male,72,High School Grad/GED or equivalent,2
78100,"20,000 to 24,999",Male,80,<9th Grade,4
78101," 5,000 to  9,999",Female,80,<9th Grade,2
78103,"Under 20,000",Male,63,<9th Grade,4
78104,"20,000 to 24,999",Male,61,<9th Grade,6
78105," 5,000 to  9,999",Female,36,<9th Grade,6
78107,"25,000 to 34,999",Female,54,High School Grad/GED or equivalent,1
78108,"15,000 to 19,999",Male,49,<9th Grade,4
78111,"10,000 to 14,999",Male,32,9th-11th Grade,3
78114,,Female,59,High School Grad/GED or equivalent,1
78119,"75,000 to 99,999",Female,73,Some College or AA degree,1
78121,"35,000 to 44,999",Male,22,Some College or AA degree,2
78122,"10,000 to 14,999",Female,69,9th-11th Grade,1
78124,"35,000 to 44,999",Male,46,9th-11th Grade,5
78127,"55,000 to 64,999",Male,67,High School Grad/GED or equivalent,2
78128,"10,000 to 14,999",Female,24,<9th Grade,6
78129,"20,000 and Over",Female,39,High School Grad/GED or equivalent,3
78130,"35,000 to 44,999",Female,57,High School Grad/GED or equivalent,3
78131,"35,000 to 44,999",Male,80,High School Grad/GED or equivalent,2
78132,"15,000 to 19,999",Female,22,Some College or AA degree,3
78134,"Under 20,000",Female,57,Some College or AA degree,2
78138,"75,000 to 99,999",Male,66,Some College or AA degree,2
78139,"45,000 to 54,999",Male,60,High School Grad/GED or equivalent,2
78140,"100,000 and Over",Female,47,College Graduate or above,2
78144,"10,000 to 14,999",Female,73,9th-11th Grade,1
78145,"65,000 to 74,999",Female,44,Some College or AA degree,2
78146,"20,000 and Over",Male,33,High School Grad/GED or equivalent,2
78148,"15,000 to 19,999",Female,23,High School Grad/GED or equivalent,1
78149," 5,000 to  9,999",Female,38,9th-11th Grade,5
78151,"35,000 to 44,999",Male,75,College Graduate or above,5
78153,"65,000 to 74,999",Female,18,High School Grad/GED or equivalent,4
78156,"10,000 to 14,999",Male,32,Some College or AA degree,1
78158,"20,000 to 24,999",Female,41,College Graduate or above,7
78161,"15,000 to 19,999",Female,34,High School Grad/GED or equivalent,2
78164,"75,000 to 99,999",Female,18,Some College or AA degree,4
78165,"10,000 to 14,999",Female,43,College Graduate or above,1
78166,"15,000 to 19,999",Male,35,9th-11th Grade,3
78167,"65,000 to 74,999",Male,76,Some College or AA degree,2
78168,"20,000 to 24,999",Female,19,High School Grad/GED or equivalent,2
78170,"55,000 to 64,999",Female,50,High School Grad/GED or equivalent,7
78174,"55,000 to 64,999",Male,67,9th-11th Grade,2
78175,"20,000 and Over",Female,60,Some College or AA degree,3
78176,"100,000 and Over",Female,61,College Graduate or above,2
78179,"100,000 and Over",Female,52,College Graduate or above,3
78180,"75,000 to 99,999",Female,80,High School Grad/GED or equivalent,2
78183,"100,000 and Over",Male,63,College Graduate or above,3
78185,"45,000 to 54,999",Female,51,High School Grad/GED or equivalent,1
78186,"100,000 and Over",Female,67,College Graduate or above,3
78187,"15,000 to 19,999",Female,41,9th-11th Grade,5
78188,"20,000 to 24,999",Male,29,High School Grad/GED or equivalent,3
78189,,Female,22,Some College or AA degree,3
78191," 5,000 to  9,999",Male,26,Some College or AA degree,2
78192,"75,000 to 99,999",Male,66,College Graduate or above,2
78193,"55,000 to 64,999",Male,33,Some College or AA degree,3
78195,"10,000 to 14,999",Female,79,<9th Grade,1
78196,"75,000 to 99,999",Female,74,Some College or AA degree,3
78197,"100,000 and Over",Female,31,College Graduate or above,3
78198,"100,000 and Over",Female,54,College Graduate or above,4
78199,"45,000 to 54,999",Female,35,Some College or AA degree,2
78200,"25,000 to 34,999",Female,66,High School Grad/GED or equivalent,1
78201,"15,000 to 19,999",Female,80,College Graduate or above,2
78203,"25,000 to 34,999",Female,44,Some College or AA degree,2
78207," 5,000 to  9,999",Female,41,Some College or AA degree,2
78208,"Under 20,000",Male,52,<9th Grade,3
78211,"100,000 and Over",Male,34,College Graduate or above,1
78213,"100,000 and Over",Male,38,High School Grad/GED or equivalent,7
78215,Refused,Female,32,Some College or AA degree,6
78216,"15,000 to 19,999",Male,62,High School Grad/GED or equivalent,3
78217,"100,000 and Over",Male,66,College Graduate or above,2
78218,"25,000 to 34,999",Female,80,<9th Grade,2
78220,"100,000 and Over",Male,30,High School Grad/GED or equivalent,3
78221,"10,000 to 14,999",Male,30,9th-11th Grade,5
78223,"20,000 to 24,999",Female,23,High School Grad/GED or equivalent,4
78225,"20,000 to 24,999",Female,40,9th-11th Grade,5
78227,"25,000 to 34,999",Female,76,High School Grad/GED or equivalent,2
78229,"100,000 and Over",Male,22,College Graduate or above,4
78231,"25,000 to 34,999",Female,36,Some College or AA degree,3
78233,"100,000 and Over",Male,18,High School Grad/GED or equivalent,4
78235,"10,000 to 14,999",Male,64,College Graduate or above,2
78236,"100,000 and Over",Male,47,College Graduate or above,4
78237,"25,000 to 34,999",Male,39,High School Grad/GED or equivalent,7
78238,"20,000 and Over",Female,80,High School Grad/GED or equivalent,4
78239,"100,000 and Over",Female,47,College Graduate or above,2
78242,"75,000 to 99,999",Male,78,College Graduate or above,3
78244," 5,000 to  9,999",Male,28,<9th Grade,3
78245,"100,000 and Over",Female,72,College Graduate or above,2
78247,"45,000 to 54,999",Female,24,,5
78251,"20,000 to 24,999",Male,40,High School Grad/GED or equivalent,4
78252,"15,000 to 19,999",Male,18,College Graduate or above,5
78253,"75,000 to 99,999",Female,23,,5
78256,"45,000 to 54,999",Female,28,Some College or AA degree,4
78262,"10,000 to 14,999",Female,80,High School Grad/GED or equivalent,1
78263,"25,000 to 34,999",Female,41,9th-11th Grade,5
78267,"100,000 and Over",Male,32,College Graduate or above,2
78268,"20,000 to 24,999",Female,57,High School Grad/GED or equivalent,1
78269,"75,000 to 99,999",Male,40,High School Grad/GED or equivalent,4
78270,"100,000 and Over",Male,55,Some College or AA degree,2
78272,"Under 20,000",Female,19,Some College or AA degree,7
78274,"25,000 to 34,999",Female,77,High School Grad/GED or equivalent,2
78275,"20,000 to 24,999",Female,24,High School Grad/GED or equivalent,3
78277,"20,000 to 24,999",Female,80,College Graduate or above,1
78280,"100,000 and Over",Female,41,High School Grad/GED or equivalent,4
78282,"75,000 to 99,999",Male,32,College Graduate or above,2
78287,"25,000 to 34,999",Female,44,College Graduate or above,4
78288,"10,000 to 14,999",Female,70,High School Grad/GED or equivalent,1
78289,"10,000 to 14,999",Male,77,<9th Grade,2
78291,"25,000 to 34,999",Female,38,Some College or AA degree,4
78292,"55,000 to 64,999",Female,28,College Graduate or above,1
78294,"75,000 to 99,999",Male,30,Some College or AA degree,3
78296,"55,000 to 64,999",Male,59,College Graduate or above,1
78297,"25,000 to 34,999",Female,65,Some College or AA degree,3
78299,"10,000 to 14,999",Male,38,High School Grad/GED or equivalent,3
78301,"25,000 to 34,999",Male,75,9th-11th Grade,2
78304," 5,000 to  9,999",Male,60,High School Grad/GED or equivalent,1
78305,"65,000 to 74,999",Female,43,High School Grad/GED or equivalent,3
78306,"15,000 to 19,999",Female,63,Some College or AA degree,4
78307,"35,000 to 44,999",Female,23,Some College or AA degree,3
78309,"35,000 to 44,999",Female,36,9th-11th Grade,6
78312,"100,000 and Over",Female,47,Some College or AA degree,3
78313,"35,000 to 44,999",Female,63,College Graduate or above,1
78317,"100,000 and Over",Male,66,Some College or AA degree,2
78318,"20,000 and Over",Female,30,High School Grad/GED or equivalent,5
78319,"20,000 to 24,999",Female,80,Some College or AA degree,1
78320,"100,000 and Over",Female,41,College Graduate or above,4
78321,"55,000 to 64,999",Male,63,Some College or AA degree,2
78322,"10,000 to 14,999",Male,29,College Graduate or above,3
78323,"20,000 to 24,999",Male,55,<9th Grade,4
78327,"100,000 and Over",Male,39,College Graduate or above,5
78328,"10,000 to 14,999",Male,66,9th-11th Grade,2
78329,"45,000 to 54,999",Male,22,Some College or AA degree,2
78330,"100,000 and Over",Male,27,College Graduate or above,3
78334,,Female,28,High School Grad/GED or equivalent,2
78335,"15,000 to 19,999",Female,27,High School Grad/GED or equivalent,5
78336,"25,000 to 34,999",Female,19,High School Grad/GED or equivalent,3
78337,"15,000 to 19,999",Female,73,Some College or AA degree,1
78338,"100,000 and Over",Female,35,,4
78341,Refused,Female,35,High School Grad/GED or equivalent,1
78342,"100,000 and Over",Female,40,Some College or AA degree,4
78345,"45,000 to 54,999",Female,19,9th-11th Grade,7
78346,"35,000 to 44,999",Male,32,High School Grad/GED or equivalent,5
78349,"75,000 to 99,999",Male,33,College Graduate or above,4
78350,"75,000 to 99,999",Female,43,High School Grad/GED or equivalent,2
78351,"10,000 to 14,999",Male,23,College Graduate or above,1
78352,"55,000 to 64,999",Male,25,Some College or AA degree,2
78354,"15,000 to 19,999",Male,44,Some College or AA degree,2
78355,"100,000 and Over",Female,34,Some College or AA degree,5
78356,"100,000 and Over",Female,45,College Graduate or above,4
78359,"100,000 and Over",Female,35,College Graduate or above,6
78360,"45,000 to 54,999",Female,38,9th-11th Grade,7
78362,"100,000 and Over",Male,52,Some College or AA degree,4
78364,"Under 20,000",Male,18,,2
78367,"25,000 to 34,999",Male,30,Some College or AA degree,5
78368,"45,000 to 54,999",Male,52,College Graduate or above,1
78369,"20,000 to 24,999",Male,23,Some College or AA degree,2
78370,"20,000 and Over",Female,18,9th-11th Grade,4
78371,"100,000 and Over",Female,30,College Graduate or above,3
78372,"Under 20,000",Female,80,Some College or AA degree,1
78374," 5,000 to  9,999",Female,49,Some College or AA degree,2
78375,"45,000 to 54,999",Male,44,High School Grad/GED or equivalent,7
78376,"55,000 to 64,999",Female,65,<9th Grade,3
78377,"35,000 to 44,999",Female,62,High School Grad/GED or equivalent,2
78378,,Female,21,,4
78379,"35,000 to 44,999",Female,47,Some College or AA degree,3
78381," 5,000 to  9,999",Male,21,<9th Grade,2
78382,"25,000 to 34,999",Male,46,Some College or AA degree,5
78386,"65,000 to 74,999",Male,44,High School Grad/GED or equivalent,5
78388,"15,000 to 19,999",Female,30,9th-11th Grade,5
78391,"75,000 to 99,999",Male,55,High School Grad/GED or equivalent,4
78392,"35,000 to 44,999",Female,67,High School Grad/GED or equivalent,2
78393,"15,000 to 19,999",Male,26,9th-11th Grade,4
78394,"65,000 to 74,999",Female,58,High School Grad/GED or equivalent,2
78395,"45,000 to 54,999",Female,22,Some College or AA degree,4
78400,"75,000 to 99,999",Female,49,Some College or AA degree,5
78402,"25,000 to 34,999",Male,69,<9th Grade,4
78403,"100,000 and Over",Female,80,9th-11th Grade,2
78404,"75,000 to 99,999",Male,44,High School Grad/GED or equivalent,1
78410,"20,000 and Over",Female,45,Some College or AA degree,3
78411,"45,000 to 54,999",Male,41,High School Grad/GED or equivalent,6
78414," 5,000 to  9,999",Female,52,<9th Grade,5
78417,"20,000 to 24,999",Female,22,Some College or AA degree,1
78418,"45,000 to 54,999",Female,36,<9th Grade,7
78419,"25,000 to 34,999",Female,32,9th-11th Grade,5
78420,"65,000 to 74,999",Male,44,Some College or AA degree,1
78422,Refused,Male,52,College Graduate or above,2
78423,"65,000 to 74,999",Female,56,High School Grad/GED or equivalent,5
78424,"10,000 to 14,999",Male,45,9th-11th Grade,1
78427,"100,000 and Over",Female,18,College Graduate or above,4
78428,"10,000 to 14,999",Female,68,9th-11th Grade,1
78430,"35,000 to 44,999",Female,37,High School Grad/GED or equivalent,5
78431,"20,000 to 24,999",Female,80,College Graduate or above,1
78433,"Under 20,000",Male,71,High School Grad/GED or equivalent,2
78434,"100,000 and Over",Male,32,College Graduate or above,2
78435,"75,000 to 99,999",Male,67,High School Grad/GED or equivalent,3
78438,"10,000 to 14,999",Male,33,Some College or AA degree,1
78439,"100,000 and Over",Female,30,College Graduate or above,3
78440,,Male,57,Some College or AA degree,1
78441,"100,000 and Over",Male,27,Some College or AA degree,2
78442,"15,000 to 19,999",Female,59,<9th Grade,3
78443,"75,000 to 99,999",Female,62,Some College or AA degree,2
78444,"25,000 to 34,999",Female,52,High School Grad/GED or equivalent,2
78445,"55,000 to 64,999",Male,63,College Graduate or above,2
78446,"100,000 and Over",Female,28,College Graduate or above,2
78447,"35,000 to 44,999",Female,23,9th-11th Grade,7
78450,"10,000 to 14,999",Male,34,High School Grad/GED or equivalent,2
78457,"75,000 to 99,999",Female,33,College Graduate or above,3
78459,"35,000 to 44,999",Male,25,9th-11th Grade,5
78460,"75,000 to 99,999",Male,32,Some College or AA degree,4
78462,"15,000 to 19,999",Male,58,College Graduate or above,1
78463,"20,000 and Over",Male,51,9th-11th Grade,2
78464,"15,000 to 19,999",Female,26,Some College or AA degree,1
78465,,Female,68,High School Grad/GED or equivalent,3
78467,"75,000 to 99,999",Female,69,Some College or AA degree,2
78468,"25,000 to 34,999",Female,30,College Graduate or above,3
78473,"55,000 to 64,999",Male,60,9th-11th Grade,2
78474,"35,000 to 44,999",Male,45,<9th Grade,5
78475,"15,000 to 19,999",Female,77,Some College or AA degree,1
78478,"75,000 to 99,999",Male,47,College Graduate or above,4
78479,"65,000 to 74,999",Male,28,Some College or AA degree,5
78480,"55,000 to 64,999",Female,47,High School Grad/GED or equivalent,4
78481,"100,000 and Over",Female,71,College Graduate or above,2
78484,"10,000 to 14,999",Female,79,,2
78486,"100,000 and Over",Female,60,College Graduate or above,3
78487,"45,000 to 54,999",Female,80,,2
78489,"75,000 to 99,999",Female,31,College Graduate or above,2
78490,"25,000 to 34,999",Male,23,9th-11th Grade,7
78495,"25,000 to 34,999",Female,24,Some College or AA degree,4
78496,"15,000 to 19,999",Female,19,High School Grad/GED or equivalent,4
78497,"45,000 to 54,999",Male,64,High School Grad/GED or equivalent,2
78498,"10,000 to 14,999",Female,78,9th-11th Grade,1
78499,"25,000 to 34,999",Male,23,High School Grad/GED or equivalent,3
78500,"75,000 to 99,999",Male,36,Some College or AA degree,2
78501,,Female,19,High School Grad/GED or equivalent,7
78503,"10,000 to 14,999",Female,72,9th-11th Grade,1
78504,"20,000 to 24,999",Female,60,9th-11th Grade,3
78506," 5,000 to  9,999",Male,57,Some College or AA degree,1
78508,"45,000 to 54,999",Male,51,9th-11th Grade,2
78510,"75,000 to 99,999",Male,40,Some College or AA degree,3
78512,"10,000 to 14,999",Male,31,9th-11th Grade,3
78514,,Male,45,9th-11th Grade,7
78515,"15,000 to 19,999",Female,80,9th-11th Grade,2
78518,"100,000 and Over",Male,38,College Graduate or above,4
78521,"45,000 to 54,999",Male,70,High School Grad/GED or equivalent,6
78522," 5,000 to  9,999",Female,51,Some College or AA degree,1
78523,"45,000 to 54,999",Female,60,Some College or AA degree,2
78526,"75,000 to 99,999",Male,30,Some College or AA degree,4
78527,"15,000 to 19,999",Female,72,9th-11th Grade,1
78528,"75,000 to 99,999",Male,38,Some College or AA degree,1
78529,"20,000 and Over",Female,19,9th-11th Grade,7
78531,"100,000 and Over",Male,60,College Graduate or above,3
78532,"100,000 and Over",Male,28,High School Grad/GED or equivalent,3
78533,"100,000 and Over",Female,48,Some College or AA degree,3
78534,Refused,Female,67,High School Grad/GED or equivalent,4
78535,"10,000 to 14,999",Female,80,9th-11th Grade,2
78536,"55,000 to 64,999",Male,51,High School Grad/GED or equivalent,4
78538,"25,000 to 34,999",Female,32,9th-11th Grade,5
78542,"25,000 to 34,999",Female,41,<9th Grade,5
78548,"20,000 and Over",Female,36,College Graduate or above,4
78549,"35,000 to 44,999",Male,20,High School Grad/GED or equivalent,3
78551,"10,000 to 14,999",Female,59,College Graduate or above,1
78552," 5,000 to  9,999",Female,68,<9th Grade,1
78556,,Female,60,High School Grad/GED or equivalent,1
78557,"10,000 to 14,999",Female,70,High School Grad/GED or equivalent,1
78560,"20,000 to 24,999",Male,22,High School Grad/GED or equivalent,6
78561,"25,000 to 34,999",Male,80,High School Grad/GED or equivalent,2
78562,"35,000 to 44,999",Male,48,High School Grad/GED or equivalent,3
78566,"45,000 to 54,999",Male,43,Some College or AA degree,3
78568,"25,000 to 34,999",Female,29,9th-11th Grade,2
78569," 5,000 to  9,999",Female,19,High School Grad/GED or equivalent,3
78572,"35,000 to 44,999",Male,51,College Graduate or above,1
78575,,Male,22,College Graduate or above,1
78577,"20,000 and Over",Male,22,,7
78579,"55,000 to 64,999",Male,71,Some College or AA degree,2
78580,"10,000 to 14,999",Female,78,9th-11th Grade,1
78581,"45,000 to 54,999",Female,44,College Graduate or above,4
78583,"25,000 to 34,999",Male,54,Some College or AA degree,3
78586,"75,000 to 99,999",Female,41,High School Grad/GED or equivalent,3
78587,"55,000 to 64,999",Female,57,9th-11th Grade,5
78588,Refused,Male,49,High School Grad/GED or equivalent,4
78589,"20,000 to 24,999",Female,20,9th-11th Grade,7
78590,Refused,Female,42,9th-11th Grade,5
78591,"15,000 to 19,999",Female,70,9th-11th Grade,2
78595,"45,000 to 54,999",Male,31,Some College or AA degree,4
78597,Don't know,Male,61,<9th Grade,7
78598,"20,000 to 24,999",Male,63,9th-11th Grade,2
78599,"100,000 and Over",Male,36,Some College or AA degree,3
78601,"100,000 and Over",Male,46,College Graduate or above,7
78603,"20,000 to 24,999",Male,33,High School Grad/GED or equivalent,7
78606,"20,000 and Over",Male,42,High School Grad/GED or equivalent,5
78608,"10,000 to 14,999",Male,59,Some College or AA degree,2
78611,"65,000 to 74,999",Male,21,High School Grad/GED or equivalent,3
78612,"20,000 to 24,999",Female,60,<9th Grade,3
78613,"25,000 to 34,999",Female,22,Some College or AA degree,2
78615,"100,000 and Over",Female,57,College Graduate or above,3
78616,"25,000 to 34,999",Female,21,Some College or AA degree,2
78619,"65,000 to 74,999",Female,61,High School Grad/GED or equivalent,3
78620,"20,000 to 24,999",Male,64,High School Grad/GED or equivalent,7
78621,"55,000 to 64,999",Male,50,College Graduate or above,3
78626,"20,000 to 24,999",Male,51,<9th Grade,1
78627,"75,000 to 99,999",Male,69,High School Grad/GED or equivalent,2
78630,"75,000 to 99,999",Male,65,Some College or AA degree,2
78631,"25,000 to 34,999",Female,28,High School Grad/GED or equivalent,5
78633,"35,000 to 44,999",Male,24,High School Grad/GED or equivalent,5
78634,,Female,55,High School Grad/GED or equivalent,1
78636," 5,000 to  9,999",Female,25,<9th Grade,5
78638,"35,000 to 44,999",Male,40,Some College or AA degree,6
78640,"25,000 to 34,999",Male,66,High School Grad/GED or equivalent,2
78642,"15,000 to 19,999",Female,19,9th-11th Grade,3
78645,"55,000 to 64,999",Male,37,Some College or AA degree,5
78649,"75,000 to 99,999",Male,50,,4
78650,"100,000 and Over",Male,21,College Graduate or above,3
78651,"100,000 and Over",Female,24,College Graduate or above,4
78652,"20,000 and Over",Female,42,Some College or AA degree,6
78654,"35,000 to 44,999",Female,61,College Graduate or above,2
78655,"20,000 to 24,999",Male,28,Some College or AA degree,1
78656,"25,000 to 34,999",Male,47,High School Grad/GED or equivalent,2
78658,"45,000 to 54,999",Female,50,9th-11th Grade,5
78659,"20,000 to 24,999",Male,19,Some College or AA degree,2
78660,"55,000 to 64,999",Male,35,High School Grad/GED or equivalent,5
